iter	Passed	Remaining
405	9231	81715
406	9249	81650
407	9266	81584
408	9284	81516
409	9302	81454
410	9320	81393
411	9339	81337
412	9359	81285
413	9376	81220
414	9393	81148
415	9411	81080
416	9428	81016
417	9446	80950
418	9463	80881
419	9481	80816
420	9501	80770
421	9518	80702
422	9536	80642
423	9553	80575
424	9571	80511
425	9590	80460
426	9607	80390
427	9625	80336
428	9644	80278
429	9661	80214
430	9678	80149
431	9696	80086
432	9714	80028
433	9732	79969
434	9751	79915
435	9769	79860
436	9788	79806
437	9806	79753
438	9825	79700
439	9845	79662
440	9867	79636
441	9885	79576
442	9902	79508
443	9923	79476
444	9944	79445
445	9965	79413
446	9984	79358
447	10004	79319
448	10022	79261
449	10040	79207
450	10059	79159
451	10078	79115
452	10099	79077
453	10121	79058
454	10141	79015
455	10162	78982
456	10181	78935
457	10198	78873
458	10217	78826
459	10236	78778
460	10265	78805
461	10287	78781
462	10305	78730
463	10327	78702
464	10360	78763
465	10384	78751
466	10400	78684
467	10416	78614
468	10433	78552
469	10450	78492
470	10468	78438
471	10486	78380
472	10504	78326
473	10521	78266
474	10538	78206
475	10555	78147
476	10572	78089
477	10590	78033
478	10608	77976
479	10626	77926
480	10644	77872
481	10662	77822
482	10679	77765
483	10696	77705
484	10714	77654
485	10731	77596
486	10749	77541
487	10767	77487
488	10784	77432
489	10801	77375
490	10819	77322
491	10838	77276
492	10855	77225
493	10874	77176
494	10893	77133
495	10910	77075
496	10927	77021
497	10944	76961
498	10962	76911
499	10979	76859
500	10999	76818
501	11018	76776
502	11036	76727
503	11054	76680
504	11072	76630
505	11090	76581
506	11108	76531
507	11126	76482
508	11144	76434
509	11162	76387
510	11180	76336
511	11198	76287
512	11215	76234
513	11231	76174
514	11247	76115
515	11264	76058
516	11282	76006
517	11300	75958
518	11317	75908
519	11335	75862
520	11353	75811
521	11372	75770
522	11391	75730
523	11408	75678
524	11426	75630
525	11445	75591
526	11468	75580
527	11497	75607
528	11523	75608
529	11541	75564
530	11562	75536
531	11580	75493
532	11598	75441
533	11616	75396
