iter	Passed	Remaining
433	1534	2000
434	1537	1996
435	1540	1992
436	1543	1988
437	1546	1984
438	1550	1981
439	1553	1977
440	1556	1973
441	1560	1969
442	1563	1965
443	1566	1961
444	1569	1957
445	1572	1952
446	1574	1948
447	1577	1943
448	1580	1939
449	1583	1935
450	1586	1931
451	1589	1926
452	1591	1922
453	1594	1917
454	1597	1913
455	1600	1908
456	1602	1904
457	1605	1900
458	1608	1896
459	1611	1892
460	1614	1888
461	1617	1883
462	1620	1879
463	1623	1875
464	1626	1871
465	1629	1866
466	1631	1862
467	1635	1858
468	1639	1855
469	1642	1852
470	1645	1848
471	1648	1844
472	1652	1840
473	1655	1837
474	1660	1834
475	1663	1830
476	1666	1827
477	1669	1823
478	1673	1819
479	1676	1815
480	1679	1812
481	1682	1808
482	1686	1804
483	1689	1800
484	1692	1797
485	1696	1793
486	1698	1789
487	1702	1785
488	1705	1782
489	1708	1778
490	1712	1774
491	1715	1770
492	1718	1767
493	1721	1763
494	1724	1759
495	1727	1755
496	1730	1751
497	1733	1747
498	1735	1742
499	1739	1739
500	1742	1735
501	1744	1731
502	1747	1726
503	1750	1722
504	1753	1719
505	1756	1715
506	1759	1710
507	1761	1706
508	1764	1702
509	1767	1698
510	1770	1694
511	1773	1689
512	1776	1686
513	1779	1682
514	1781	1678
515	1784	1674
516	1787	1670
517	1790	1665
518	1793	1661
519	1796	1658
520	1799	1654
521	1803	1651
522	1806	1647
523	1809	1643
524	1812	1640
525	1816	1636
526	1819	1633
527	1822	1628
528	1825	1625
529	1828	1621
530	1831	1617
531	1837	1616
532	1841	1613
533	1844	1609
534	1847	1605
535	1850	1601
536	1853	1597
537	1856	1594
538	1859	1590
539	1862	1586
540	1865	1582
541	1867	1578
542	1871	1574
543	1873	1570
544	1876	1566
545	1879	1562
546	1882	1559
547	1886	1555
548	1889	1552
549	1892	1548
550	1895	1544
551	1898	1540
552	1903	1538
553	1907	1535
554	1910	1531
555	1914	1528
556	1917	1525
557	1920	1521
558	1923	1517
559	1926	1513
560	1930	1510
561	1933	1506
562	1936	1502
563	1938	1498
564	1941	1494
565	1944	1491
566	1947	1487
567	1950	1483
568	1953	1479
569	1955	1475
570	1958	1471
571	1961	1467
572	1965	1464
573	1968	1461
574	1972	1458
575	1975	1454
576	1979	1450
577	1982	1447
578	1985	1443
579	1988	1440
580	1991	1436
581	1994	1432
582	1997	1428
583	2000	1424
584	2003	1421
585	2005	1417
586	2009	1413
587	2012	1409
588	2015	1406
589	2017	1402
590	2020	1398
591	2023	1394
592	2026	1390
593	2029	1387
594	2032	1383
595	2035	1379
596	2037	1375
597	2040	1371
598	2043	1368
599	2046	1364
600	2049	1360
601	2052	1356
602	2055	1353
603	2058	1349
604	2061	1345
605	2063	1341
606	2066	1338
607	2069	1334
608	2072	1330
609	2075	1326
610	2078	1323
611	2081	1319
612	2084	1315
613	2087	1312
614	2091	1309
615	2094	1305
616	2097	1302
617	2100	1298
618	2104	1295
619	2107	1291
620	2110	1288
621	2113	1284
622	2117	1281
623	2120	1277
624	2123	1274
625	2126	1270
626	2132	1268
627	2135	1265
628	2139	1261
629	2143	1258
630	2146	1255
631	2150	1251
632	2153	1248
633	2156	1245
634	2159	1241
635	2162	1237
636	2165	1234
637	2168	1230
638	2171	1226
639	2173	1222
640	2177	1219
641	2180	1215
642	2183	1212
643	2186	1208
644	2189	1204
645	2192	1201
646	2196	1198
647	2199	1194
648	2202	1191
649	2206	1187
650	2209	1184
651	2212	1180
652	2215	1177
653	2218	1173
654	2221	1170
655	2224	1166
656	2228	1163
657	2231	1159
658	2234	1156
659	2238	1153
660	2241	1149
661	2244	1145
662	2247	1142
663	2256	1141
664	2259	1138
665	2262	1134
666	2265	1131
667	2268	1127
668	2271	1123
669	2274	1120
670	2276	1116
671	2280	1112
672	2282	1109
673	2285	1105
674	2288	1102
675	2292	1098
676	2297	1096
677	2300	1092
678	2305	1089
679	2311	1087
680	2315	1084
681	2319	1081
682	2321	1077
683	2325	1074
684	2328	1070
685	2332	1067
686	2335	1063
687	2338	1060
688	2342	1057
689	2345	1053
690	2348	1050
691	2351	1046
692	2355	1043
693	2358	1039
694	2361	1036
695	2367	1034
696	2370	1030
697	2373	1026
698	2375	1023
699	2378	1019
700	2381	1015
701	2384	1012
702	2387	1008
703	2390	1005
704	2393	1001
705	2396	997
706	2399	994
707	2402	990
708	2404	987
709	2407	983
710	2410	979
711	2413	976
712	2416	972
713	2418	968
714	2421	965
715	2424	961
716	2428	958
717	2431	955
718	2434	951
719	2437	947
720	2440	944
721	2442	940
722	2445	937
723	2449	933
724	2452	930
725	2455	926
726	2460	924
727	2464	920
728	2467	917
729	2472	914
730	2476	911
731	2479	907
732	2482	904
733	2486	901
734	2489	897
735	2492	894
736	2495	890
737	2499	887
738	2503	884
739	2506	880
740	2508	876
741	2511	873
742	2514	869
743	2517	866
744	2520	862
745	2524	859
746	2527	855
747	2530	852
748	2533	848
749	2536	845
750	2539	841
751	2541	838
752	2544	834
753	2547	831
754	2550	827
755	2553	824
756	2555	820
757	2559	817
758	2561	813
759	2564	809
760	2567	806
761	2570	802
762	2573	799
763	2576	795
764	2579	792
765	2582	788
766	2584	785
767	2587	781
768	2590	778
769	2593	774
770	2596	771
771	2599	767
772	2602	764
773	2605	760
774	2608	757
775	2612	753
776	2615	750
777	2618	747
778	2622	743
779	2626	740
780	2630	737
781	2634	734
782	2638	731
783	2641	727
784	2646	724
785	2649	721
786	2652	718
787	2656	714
788	2659	711
789	2662	707
790	2665	704
791	2668	700
792	2671	697
793	2674	693
794	2677	690
795	2680	687
796	2683	683
797	2686	680
798	2689	676
799	2692	673
800	2695	669
801	2698	666
802	2701	662
803	2704	659
804	2707	655
805	2710	652
806	2716	649
807	2719	646
808	2722	642
809	2725	639
810	2728	635
811	2730	632
812	2734	628
813	2736	625
814	2739	621
815	2742	618
816	2745	614
817	2748	611
818	2751	608
819	2753	604
820	2756	601
821	2759	597
822	2762	594
823	2765	590
824	2768	587
825	2771	583
826	2774	580
827	2777	576
828	2780	573
829	2783	570
830	2786	566
831	2790	563
832	2793	560
833	2796	556
834	2799	553
835	2802	549
836	2806	546
837	2809	543
838	2813	539
839	2816	536
840	2819	533
841	2822	529
842	2825	526
843	2829	522
844	2832	519
845	2836	516
846	2839	512
847	2842	509
848	2845	506
